InputID,TargetID,Distance
C26,C13,10098.5109283126
C26,C14,9739.19477143878
C26,C15,9924.62556269324
C26,C17,10132.037068647
C26,C18,9960.33610200348
C26,C19,10124.4023006027
C26,C20,9566.5013104487
C26,C22,6343.37451112976
C26,C23,6277.704989552
C26,C24,5347.21074661391
C26,C25,1494.50703655141
C26,C27,438.111863851658
C26,C28,802.245197676607
C26,C29,861.585131647371
C26,C30,1019.16132012888
C26,C31,3387.05797553717
C26,C32,4164.15507666172
C27,C01,14845.2629830293
C27,C02,14172.1978814515
C27,C03,12753.4679155301
C27,C04,12278.0844131384
C27,C05,10941.6387299266
C27,C06,11390.3985478629
C27,C07,11372.5186125596
C27,C08,11140.1204295014
C27,C09,11089.0830770557
C27,C10,10958.1808031905
C27,C11,10547.9161509291
C27,C12,10535.7428778376
C27,C13,10529.6264790236
C27,C14,10170.7789399805
C27,C15,10353.7029221399
C27,C17,10558.9548682592
C27,C18,10384.9763136287
C27,C19,10547.5167402561
C27,C20,9996.20454291595
C27,C22,6770.80060023826
C27,C23,6697.07830575211
C27,C24,5775.02373492739
C27,C25,1900.39153738094
C27,C26,438.111863851618
C27,C28,392.043552505425
C27,C29,542.866714482391
C27,C30,769.788500358902
C27,C31,3177.39194113899
C27,C32,3937.17525212032
C28,C01,14946.0328103896
C28,C02,14288.0825642129
C28,C03,12959.000355122
C28,C04,12497.9501480411
C28,C05,11195.4598814678
C28,C06,11649.4432001315
C28,C07,11645.6130829354
C28,C08,11424.7596635409
C28,C09,11382.843432187
C28,C10,11258.0152141243
C28,C11,10907.6881258477
C28,C12,10900.8760551127
C28,C13,10899.2867611723
C28,C14,10539.676259152
C28,C15,10726.3400636532
C28,C17,10934.2060824334
C28,C18,10762.5555946342
C28,C19,10926.4626694669
C28,C20,10367.996856224
C28,C22,7145.51812472401
C28,C23,7078.7622357938
C28,C24,6149.3199460183
C28,C25,2287.12197666783
C28,C26,802.245197676573
C28,C27,392.043552505566
C28,C29,267.062041880508
C28,C30,520.341182176263
C28,C31,2864.98898256502
C28,C32,3609.26827985138
C29,C01,14728.2261497562
C29,C02,14076.8104430732
C29,C03,12795.5568855032
C29,C04,12344.0038589107
C29,C05,11066.6182176885
C29,C06,11524.4966054565
C29,C07,11532.2586956282
C29,C08,11321.6662787274
C29,C09,11288.2491898042
C29,C10,11169.3782947918
C29,C11,10894.3658192626
C29,C12,10896.9858705298
C29,C13,10904.0920421408
C29,C14,10543.1287529261
C29,C15,10737.4082606511
C29,C17,10951.0004646351
C29,C18,10784.9806074009
C29,C19,10952.2818863557
C29,C20,10377.4356025256
C29,C22,7163.57102431278
C29,C23,7114.42411206888
C29,C24,6167.5964450347
C29,C25,2352.00566695101
C29,C26,861.585131647461
C29,C27,542.866714482255
C29,C28,267.062041880485
C29,C30,255.274265318173
C29,C31,2639.88191689037
C29,C32,3395.84227127677
C30,C01,14551.0131239315
C30,C02,13907.5084248626
C30,C03,12680.7366587783
C30,C04,12239.6344637215
C30,C05,10989.4788739543
C30,C06,11451.2268571396
C30,C07,11471.0264679971
C30,C08,11271.0767935431
C30,C09,11246.3317507794
C30,C10,11133.5471378265
C30,C11,10932.214440007
C30,C12,10943.7152325182
C30,C13,10958.943993267
C30,C14,10596.9220097681
C30,C15,10798.1670474653
C30,C17,11016.9349439047
C30,C18,10856.180620935
C30,C19,11026.5027360942
C30,C20,10436.8901024073
C30,C22,7233.68985228072
C30,C23,7200.58954894659
C30,C24,6239.32387977119
C30,C25,2479.34048750042
C30,C26,1019.16132012896
C30,C27,769.788500358895
C30,C28,520.341182176317
C30,C29,255.274265318212
C30,C31,2409.03223984427
C30,C32,3173.30221830447
C31,C01,14034.1438957007
C31,C02,13502.2358267592
C31,C03,12920.6650931342
C31,C04,12595.3423727878
C31,C05,11635.4172733134
C31,C06,12122.525473391
C31,C07,12250.6169250864
C31,C08,12147.8938949641
C31,C09,12197.5145092144
C31,C10,12137.773502524
C31,C11,12492.8083904526
C31,C12,12563.5042284629
C31,C13,12631.5070411932
C31,C14,12267.3582969308
C31,C15,12510.4117968184
C31,C17,12759.0666234766
C31,C18,12632.6580042925
C31,C19,12819.5345311514
C31,C20,12145.5027518735
C31,C22,9060.86340213865
C31,C23,9116.77271910907
C31,C24,8099.87779327143
C31,C25,4711.15868918609
C31,C26,3387.05797553718
C31,C27,3177.39194113902
C31,C28,2864.988982565
C31,C29,2639.88191689034
C31,C30,2409.03223984423
C31,C32,787.216916772804
C32,C01,14169.6633889478
C32,C02,13678.0281616847
C32,C03,13296.8202539776
C32,C04,13005.8550677037
C32,C05,12128.8154649333
C32,C06,12619.2309129152
C32,C07,12773.5524465701
C32,C08,12694.9508367773
C32,C09,12761.8791899649
C32,C10,12714.7370718653
C32,C11,13184.8671089685
C32,C12,13266.2697103206
C32,C13,13343.5375823908
C32,C14,12979.8570849004
C32,C15,13229.5942170842
C32,C17,13482.8211134013
C32,C18,13362.3645168922
C32,C19,13551.6111866106
C32,C20,12864.8662036505
C32,C22,9806.6101507613
C32,C23,9874.16491657841
C32,C24,8853.05240308784
C32,C25,5498.36901997538
C32,C26,4164.15507666174
C32,C27,3937.17525212034
C32,C28,3609.26827985136
C32,C29,3395.84227127666
C32,C30,3173.30221830444
C32,C31,787.216916772823
