fid,InputID,TargetID,Distance
"612",M24,M14,1877.1594985212
"613",M24,M15,1742.87127453181
"614",M24,M16,1926.16439824902
"615",M24,M17,1790.68780014693
"616",M24,M18,1562.02607353278
"617",M24,M19,1391.29512191478
"618",M24,M20,1268.75775499798
"619",M24,M21,1346.4835477026
"620",M24,M22,1535.10946784841
"621",M24,M23,851.2468715607
"622",M24,M25,803.000076904073
"623",M24,M26,1583.75530410235
"624",M24,M27,2313.40593408034
"625",M25,M01,7688.39572418415
"626",M25,M02,5676.00834639951
"627",M25,M03,4209.87575040775
"628",M25,M04,3419.6603240851
"629",M25,M05,3057.19568407534
"630",M25,M06,2770.92601388938
"631",M25,M07,2521.4269137034
"632",M25,M08,2543.25107985597
"633",M25,M09,2825.9956453964
"634",M25,M10,2814.62181337071
"635",M25,M11,2810.96748515619
"636",M25,M12,2711.90573691212
"637",M25,M13,2436.52359148357
"638",M25,M14,2509.71820085175
"639",M25,M15,2363.10345465711
"640",M25,M16,2505.57773555839
"641",M25,M17,2330.34451232415
"642",M25,M18,2147.63040810964
"643",M25,M19,2035.79381347852
"644",M25,M20,2003.58712991815
"645",M25,M21,2134.96729656469
"646",M25,M22,2282.77156933851
"647",M25,M23,1644.16275906179
"648",M25,M24,803.000076903863
"649",M25,M26,821.037792140581
"650",M25,M27,1594.38493787738
"651",M26,M01,8498.33010171769
"652",M26,M02,6496.75859251612
"653",M26,M03,5019.00827944929
"654",M26,M04,4211.58463065795
"655",M26,M05,3847.51322365471
"656",M26,M06,3548.79955744597
"657",M26,M07,3275.82001021449
"658",M26,M08,3267.7442707292
"659",M26,M09,3542.57423707803
"660",M26,M10,3474.50085951798
"661",M26,M11,3440.58265613782
"662",M26,M12,3302.25956326282
"663",M26,M13,3018.67132242925
"664",M26,M14,3030.67888000402
"665",M26,M15,2880.13485611285
"666",M26,M16,2974.10323026781
"667",M26,M17,2772.97333527001
"668",M26,M18,2646.92845224009
"669",M26,M19,2597.27719550884
"670",M26,M20,2654.70034224141
"671",M26,M21,2851.53651504699
"672",M26,M22,3097.59068030732
"673",M26,M23,2434.99609698051
"674",M26,M24,1583.75530410188
"675",M26,M25,821.037792140938
"676",M26,M27,784.811649758865
"677",M27,M01,9280.68845161752
"678",M27,M02,7265.51287264798
"679",M27,M03,5751.26809023939
"680",M27,M04,4921.31362548827
"681",M27,M05,4557.13916622315
"682",M27,M06,4245.98559176936
"683",M27,M07,3951.36088327955
"684",M27,M08,3914.91600677161
"685",M27,M09,4178.11309122364
"686",M27,M10,4059.34510539865
"687",M27,M11,3999.40858251242
"688",M27,M12,3830.69246859581
"689",M27,M13,3549.14095259434
"690",M27,M14,3509.98191512662
"691",M27,M15,3362.5418781879
"692",M27,M16,3412.36420695357
"693",M27,M17,3200.04636821366
"694",M27,M18,3126.35433760473
"695",M27,M19,3128.10667733543
"696",M27,M20,3253.72430029672
"697",M27,M21,3499.29602915812
"698",M27,M22,3845.36658571142
"699",M27,M23,3157.10382125297
"700",M27,M24,2313.40593408035
"701",M27,M25,1594.38493787781
"702",M27,M26,784.811649758821
