station;station_old;Zone;Site;Latitude;Longitude;Bottom depth (m);Buoy depth (m);Receiver ID;Date in;Date out;Detections;Status;Observations
G11;R5;Badia de Roses;Badia de Roses;42,16105;3,12628;11;bottom;136739;2020-08-05;2020-08-19;20623;downloaded;
G11;R5;Badia de Roses;Badia de Roses;42,16105;3,12628;11;bottom;105286;2020-08-19;;;active;
G12;R4;Badia de Roses;Badia de Roses;42,15367;3,12795;11;bottom;136750;2020-08-05;2021-06-26;113753;downloaded;
G12;R4;Badia de Roses;Badia de Roses;42,15367;3,12795;11;bottom;137370;2021-06-26;;;active;
G13;R3;Badia de Roses;Badia de Roses;42,14691;3,13195;12;bottom;136770;2020-08-05;2021-06-26;147608;downloaded;
G13;R3;Badia de Roses;Badia de Roses;42,14691;3,13195;12;bottom;101506;2021-06-26;;;active;
G14;R2;Badia de Roses;Badia de Roses;42,13948;3,13532;13;bottom;136749;2020-08-05;2021-06-26;187916;downloaded;
G14;R2;Badia de Roses;Badia de Roses;42,13948;3,13532;13;bottom;137374;2021-06-26;;;active;
G15;R1;Badia de Roses;Badia de Roses;42,13300;3,13872;13;bottom;136756;2020-08-05;2021-06-26;25798;downloaded;
G15;R1;Badia de Roses;Badia de Roses;42,13300;3,13872;13;bottom;137371;2021-06-26;;;active;
G16;R0;Badia de Roses;Emisari;42,12672;3,15445;18;bottom;108865;2020-10-29;2021-06-18;580;downloaded;Sobre una pilona del receptor. Xarxes abandonades. 
G16;R0;Badia de Roses;Emisari;42,12672;3,15445;18;bottom;???;2021-06-18;;;active;
M01;M22;Medes-Montgrí-Ter;Montgrí;42,10040;3,18802;18,4;bottom;125478;2020-06-26;2021-03-11;184;downloaded;
M01;M22;Medes-Montgrí-Ter;Montgrí;42,10040;3,18802;18,4;bottom;112364;2021-03-11;2021-09-07;1004;downloaded;
M01;M22;Medes-Montgrí-Ter;Montgrí;42,10040;3,18802;18,4;bottom;136741;2021-09-07;;;active;
M02;M21;Medes-Montgrí-Ter;Montgrí;42,08307;3,20158;26,5;bottom;113500;2020-06-26;2021-03-11;1161;downloaded;
M02;M21;Medes-Montgrí-Ter;Montgrí;42,08307;3,20158;26,5;bottom;110274;2021-03-11;2021-09-07;350;downloaded;
M02;M21;Medes-Montgrí-Ter;Montgrí;42,08307;3,20158;26,5;bottom;113500;2021-09-07;;;active;
M03;M20;Medes-Montgrí-Ter;Montgrí;42,06905;3,21253;30;bottom;128599;2020-06-26;2021-08-15;1793;downloaded;
M03;M20;Medes-Montgrí-Ter;Montgrí;42,06905;3,21253;30;bottom;136750;2021-08-15;;;active;
M04;M19;Medes-Montgrí-Ter;Montgrí;42,06120;3,21497;28;bottom;105286;2020-06-26;2021-03-11;93;downloaded;
M04;M19;Medes-Montgrí-Ter;Montgrí;42,06120;3,21497;28;bottom;136762;2021-03-11;2021-09-07;4040;downloaded;
M04;M19;Medes-Montgrí-Ter;Montgrí;42,06120;3,21497;28;bottom;136747;2021-09-07;;;active;
M05;M18;Medes-Montgrí-Ter;Montgrí;42,05800;3,21400;24;bottom;128600;2020-06-25;2021-03-12;2995;downloaded;
M05;M18;Medes-Montgrí-Ter;Montgrí;42,05800;3,21400;24;bottom;108861;2021-03-12;2021-09-07;2596;downloaded;
M05;M18;Medes-Montgrí-Ter;Montgrí;42,05800;3,21400;24;bottom;125478;2021-09-07;;;active;
M06;M17;Medes-Montgrí-Ter;Montgrí;42,05502;3,21480;25;bottom;125480;2020-06-25;2021-03-11;14262;downloaded;
M06;M17;Medes-Montgrí-Ter;Montgrí;42,05502;3,21480;25;bottom;125469;2021-03-11;2021-08-30;15269;downloaded;
M06;M17;Medes-Montgrí-Ter;Montgrí;42,05502;3,21480;25;bottom;136769;2021-08-30;;;active;
M07;M16;Medes-Montgrí-Ter;Freu;42,05202;3,21628;28;bottom;108861;2020-06-25;2021-03-11;61746;downloaded;
M07;M16;Medes-Montgrí-Ter;Freu;42,05202;3,21628;28;bottom;128603;2021-03-11;2021-08-30;34085;downloaded;
M07;M16;Medes-Montgrí-Ter;Freu;42,05202;3,21628;28;bottom;136751;2021-08-30;;;active;
M08;M2;Medes-Montgrí-Ter;Medes;42,05108;3,21892;;5;125469;2020-06-25;2021-03-10;206897;downloaded;
M08;M2;Medes-Montgrí-Ter;Medes;42,05108;3,21892;;5;125472;2021-03-10;2021-08-30;107648;downloaded;
M08;M2;Medes-Montgrí-Ter;Medes;42,05108;3,21892;;5;136740;2021-08-30;;;active;
M09;M1;Medes-Montgrí-Ter;Medes;42,05298;3,22125;;5,5;125460;2020-06-25;2021-03-11;129801;downloaded;
M09;M1;Medes-Montgrí-Ter;Medes;42,05298;3,22125;;5,5;125466;2021-03-11;2021-08-31;74916;downloaded;
M09;M1;Medes-Montgrí-Ter;Medes;42,05295;3,22122;;5,5;125472;2021-08-31;;;active;
M10;M14;Medes-Montgrí-Ter;Medes;42,05065;3,22497;;4,4;101506;2020-06-25;2021-03-28;21116;downloaded;
M10;M14;Medes-Montgrí-Ter;Medes;42,05065;3,22497;;4,4;108860;2021-03-28;2021-08-31;71220;downloaded;
M10;M14;Medes-Montgrí-Ter;Medes;42,05065;3,22497;;4,4;136755;2021-08-31;;;active;
