date,geartype,hours,lat,lon,vesselIDs
2014,fishing,1.1747222222222222,55.5,-5.0,1
2014,trawlers,0.8191666666666667,55.1,-5.5,1
2014,fishing,17.20611111111111,56.0,-5.1,1
2014,dredge_fishing,4.476111111111111,55.0,-5.1,1
2014,fishing,0.21666666666666667,55.2,-5.6,1
2014,trawlers,6.980555555555555,55.2,-5.5,1
2014,trawlers,0.46166666666666667,55.9,-5.3,1
2014,fishing,118.06111111111109,55.9,-5.0,1
2014,set_gillnets,8.549444444444443,56.0,-4.9,1
2014,trawlers,0.8488888888888889,55.9,-5.2,1
2014,fishing,120.4525,56.0,-4.9,1
2014,fishing,37.863888888888894,55.8,-5.0,1
2015,trawlers,1647.8808333333334,55.5,-5.0,39
2015,trawlers,1515.065833333333,55.2,-5.2,44
2015,trawlers,699.5861111111112,55.0,-5.2,25
2015,trawlers,393.7605555555556,55.6,-5.5,10
2015,trawlers,973.1125,55.4,-5.5,30
2015,trawlers,564.2669444444446,55.2,-5.3,22
2015,trawlers,1472.5249999999994,55.3,-5.0,54
2015,trawlers,547.5497222222224,55.2,-5.0,43
2015,trawlers,480.43388888888893,55.3,-5.4,37
2015,trawlers,2277.8761111111116,55.1,-5.2,44
2015,trawlers,1084.6980555555556,55.6,-5.4,11
2015,trawlers,2723.5474999999997,55.4,-5.4,49
2015,trawlers,1231.265,55.4,-5.3,48
2015,trawlers,1168.8405555555555,55.4,-5.2,44
2015,trawlers,707.6058333333333,55.8,-4.9,6
2015,trawlers,1529.3330555555558,55.4,-5.0,60
2015,trawlers,1064.0344444444447,55.2,-5.1,51
2015,trawlers,1757.7544444444438,55.3,-5.3,42
2015,trawlers,3243.596666666666,55.7,-5.1,28
2015,trawlers,1.5183333333333333,55.7,-5.5,2
2015,trawlers,1346.423888888889,55.6,-4.9,25
2015,trawlers,978.8952777777778,55.4,-4.9,50
2015,trawlers,2794.731666666666,55.7,-5.0,22
2015,trawlers,511.7511111111112,55.8,-5.2,15
2015,trawlers,2493.1866666666665,55.6,-5.0,31
2015,trawlers,11.935277777777776,55.8,-5.1,7
2015,trawlers,6.150555555555556,55.6,-5.2,1
2015,trawlers,1941.6058333333342,55.3,-5.1,60
2015,trawlers,1026.17,55.1,-5.3,31
2015,trawlers,16.57277777777778,55.2,-5.4,5
2015,trawlers,1898.9291666666668,55.5,-5.4,27
2015,trawlers,1854.4388888888886,55.3,-5.2,48
