"station";"zone";"site";"Longitude";"Latitude";"x";"y";"rec_id";"date_in";"date_out"
"G08";"Badia de Roses";"Badia de Roses";3,12336;42,18315;510187,0343;4670118,849;136737;"09/03/2022";""
"G09";"Badia de Roses";"Badia de Roses";3,12438;42,17577;510272,4601;4669299,553;136740;"05/08/2020";"27/08/2021"
"G09";"Badia de Roses";"Badia de Roses";3,12438;42,17577;510272,4601;4669299,553;136749;"27/08/2021";"09/03/2022"
"G09";"Badia de Roses";"Badia de Roses";3,12438;42,17577;510272,4601;4669299,553;136770;"09/03/2022";""
"G10";"Badia de Roses";"Badia de Roses";3,12518;42,16848;510339,7188;4668490,224;136769;"05/08/2020";"27/08/2021"
"G10";"Badia de Roses";"Badia de Roses";3,12518;42,16848;510339,7188;4668490,224;136739;"27/08/2021";"09/03/2022"
"G10";"Badia de Roses";"Badia de Roses";3,12518;42,16848;510339,7188;4668490,224;136759;"09/03/2022";""
"G11";"Badia de Roses";"Badia de Roses";3,12628;42,16105;510431,798;4667665,39;136739;"05/08/2020";"19/08/2020"
"G11";"Badia de Roses";"Badia de Roses";3,12628;42,16105;510431,798;4667665,39;105286;"19/08/2021";""
"G12";"Badia de Roses";"Badia de Roses";3,12795;42,15367;510570,9823;4666846,18;136750;"05/08/2020";"26/06/2021"
"G12";"Badia de Roses";"Badia de Roses";3,12795;42,15367;510570,9823;4666846,18;137370;"26/06/2021";"17/06/2022"
"G12";"Badia de Roses";"Badia de Roses";3,12795;42,15367;510570,9823;4666846,18;113500;"17/06/2022";""
"G13";"Badia de Roses";"Badia de Roses";3,13195;42,14691;510902,6147;4666096,108;136770;"05/08/2020";"26/06/2021"
"G13";"Badia de Roses";"Badia de Roses";3,13195;42,14691;510902,6147;4666096,108;101506;"26/06/2021";"17/06/2022"
"G13";"Badia de Roses";"Badia de Roses";3,13195;42,14691;510902,6147;4666096,108;101506;"17/06/2022";""
"G14";"Badia de Roses";"Badia de Roses";3,13532;42,13948;511182,3746;4665271,578;136749;"05/08/2020";"26/06/2021"
"G14";"Badia de Roses";"Badia de Roses";3,13532;42,13948;511182,3746;4665271,578;137374;"26/06/2021";"17/06/2022"
"G14";"Badia de Roses";"Badia de Roses";3,13532;42,13948;511182,3746;4665271,578;137370;"17/06/2022";""
"G15";"Badia de Roses";"Badia de Roses";3,13872;42,133;511464,5075;4664552,545;136756;"05/08/2020";"26/06/2021"
"G15";"Badia de Roses";"Badia de Roses";3,13872;42,133;511464,5075;4664552,545;137371;"26/06/2021";"17/06/2022"
"G15";"Badia de Roses";"Badia de Roses";3,13872;42,133;511464,5075;4664552,545;137371;"17/06/2022";""
"G16";"Badia de Roses";"Emisari";3,15445;42,12672;512765,7738;4663857,498;108865;"29/10/2020";"18/06/2021"
"G16";"Badia de Roses";"Emisari";3,15445;42,12672;512765,7738;4663857,498;137362;"18/06/2021";"17/06/2022"
"G16";"Badia de Roses";"Emisari";3,15445;42,12672;512765,7738;4663857,498;125478;"17/06/2022";""
"M01";"Medes-Montgrí-Ter";"Montgrí";3,18802;42,1004;515546,8708;4660940,722;125478;"26/06/2020";"11/03/2021"
"M01";"Medes-Montgrí-Ter";"Montgrí";3,18802;42,1004;515546,8708;4660940,722;112364;"11/03/2021";"07/09/2021"
"M01";"Medes-Montgrí-Ter";"Montgrí";3,18802;42,1004;515546,8708;4660940,722;136741;"07/09/2021";"01/06/2022"
"M01";"Medes-Montgrí-Ter";"Montgrí";3,18802;42,1004;515546,8708;4660940,722;136751;"01/06/2022";""
"M02";"Medes-Montgrí-Ter";"Montgrí";3,20158;42,08307;516672,6492;4659019,115;113500;"26/06/2020";"11/03/2021"
"M02";"Medes-Montgrí-Ter";"Montgrí";3,20158;42,08307;516672,6492;4659019,115;110274;"11/03/2021";"07/09/2021"
"M02";"Medes-Montgrí-Ter";"Montgrí";3,20158;42,08307;516672,6492;4659019,115;113500;"07/09/2021";"01/06/2022"
"M02";"Medes-Montgrí-Ter";"Montgrí";3,20158;42,08307;516672,6492;4659019,115;136752;"01/06/2022";""
"M03";"Medes-Montgrí-Ter";"Montgrí";3,21253;42,06905;517582,1918;4657464,663;128599;"26/06/2020";"15/08/2021"
"M03";"Medes-Montgrí-Ter";"Montgrí";3,21253;42,06905;517582,1918;4657464,663;136756;"15/08/2021";"17/06/2022"
